table,column
ack,ack.ack_entity_type
ack,ack.bit_flags
ack,ack.callback_info.flag1
ack,ack.callback_server_id
ack,ack.cpx_concrete_event_id
ack,ack.creative_rendition_id
ack,ack.data_source
ack,ack.event_category
ack,ack.event_name
ack,ack.event_type
ack,ack.event_value
ack,ack.flags
ack,ack.is_private_impression
ack,ack.kafka_msg_key
ack,ack.metrics.ad_accept_invitation
ack,ack.metrics.ad_bid_won
ack,ack.metrics.ad_close
ack,ack.metrics.ad_collapse
ack,ack.metrics.ad_error
ack,ack.metrics.ad_expand
ack,ack.metrics.ad_impression
ack,ack.metrics.ad_insertion
ack,ack.metrics.ad_minimize
ack,ack.metrics.ad_mute
ack,ack.metrics.ad_pause
ack,ack.metrics.ad_resume
ack,ack.metrics.ad_rewind
ack,ack.metrics.ad_unmute
ack,ack.metrics.avails_event_count
ack,ack.metrics.can_quartile
ack,ack.metrics.click
ack,ack.metrics.complete_quartile
ack,ack.metrics.fire_event_revenue_ratio
ack,ack.metrics.fire_event_slot_revenue_ratio
ack,ack.metrics.first_quartile
ack,ack.metrics.measurable_ad_accept_invitation_minimize_impression
ack,ack.metrics.measurable_ad_close_impression
ack,ack.metrics.measurable_ad_expand_collapse_impression
ack,ack.metrics.measurable_ad_mute_unmute_impression
ack,ack.metrics.measurable_ad_pause_resume_impression
ack,ack.metrics.measurable_ad_rewind_impression
ack,ack.metrics.middle_quartile
ack,ack.metrics.no_ad_impression
ack,ack.metrics.no_click
ack,ack.metrics.raw_ad_impression
ack,ack.metrics.slot_impression
ack,ack.metrics.third_quartile
ack,ack.metrics.video_view
ack,ack.multiplier
ack,ack.psn_msg
ack,ack.timestamp
ack,ack.traffic_type
ack,ack.win_notice_error
ack,ads_in_slot.advertisement.ad_id
ack,ads_in_slot.advertisement.ad_unit_id
ack,ads_in_slot.advertisement.advertiser_id
ack,ads_in_slot.advertisement.bit_flags
ack,ads_in_slot.advertisement.campaign_id
ack,ads_in_slot.advertisement.creative_id
ack,ads_in_slot.advertisement.duration
ack,ads_in_slot.advertisement.error
